simulation,y,ymin,ymax,.width,.point,.interval,divs,rhat,p_true
1,0.37763541801814604,0.35843495988339935,0.39673526570618906,0.8,mean,qi,0,TRUE,0.36381995608098805
2,0.6432574591181568,0.6191289497131665,0.667477342399985,0.8,mean,qi,0,TRUE,0.6636903593316674
3,0.5411010122479896,0.5175167639552247,0.5648705482480876,0.8,mean,qi,0,TRUE,0.5057873176410794
4,0.0028924750055395643,4.707224560127089e-4,0.00591835936660861,0.8,mean,qi,1,TRUE,0.0021805327851325274
5,0.34936616553833755,0.33059176735365964,0.368694212160537,0.8,mean,qi,0,TRUE,0.3429589974693954
6,0.0127537415179791,0.007111386593547002,0.018729868052744954,0.8,mean,qi,0,TRUE,0.011634912574663758
7,0.5795427891021013,0.5592476941490173,0.5996166630714037,0.8,mean,qi,0,TRUE,0.5569671727716923
8,0.9505629001024773,0.9380517567010921,0.9632956431925894,0.8,mean,qi,0,TRUE,0.9520996385253966
9,0.09111580506629292,0.07814823298406409,0.10441042238357652,0.8,mean,qi,0,TRUE,0.09972819243557751
10,0.027034580024820058,0.01847805086833718,0.036502127878087647,0.8,mean,qi,0,TRUE,0.026314918883144855
11,0.7261621458184697,0.7035966932282477,0.7481269876758453,0.8,mean,qi,0,TRUE,0.7505041004624218
12,0.7361701109580705,0.717385920776898,0.7546523722520806,0.8,mean,qi,0,TRUE,0.7371438026893884
13,0.2577342880287788,0.24045337616408968,0.27514403855491654,0.8,mean,qi,0,TRUE,0.2547710039652884
14,0.6611027369739283,0.6415464422064185,0.6802971491650526,0.8,mean,qi,0,TRUE,0.6526979012414813
15,0.9455573618137849,0.9281618310042186,0.9629585166333889,0.8,mean,qi,0,TRUE,0.9491271693259478
16,0.46956093576718405,0.44867197640402173,0.4908527073113702,0.8,mean,qi,0,TRUE,0.4857205986045301
17,0.11015623332299737,0.09594640618047655,0.12416367435792082,0.8,mean,qi,0,TRUE,0.09361313283443451
18,0.2918066067628478,0.2734668608452956,0.3106874834342974,0.8,mean,qi,0,TRUE,0.29848413984291255
19,0.625391712739407,0.6049259353486479,0.6461504767105652,0.8,mean,qi,0,TRUE,0.6394875487312675
20,0.3807881264241836,0.36015330682788654,0.40175151485438215,0.8,mean,qi,0,TRUE,0.39194402657449245
21,0.05500430992658589,0.04330833455816349,0.06735142458893024,0.8,mean,qi,0,TRUE,0.06371097732335329
22,0.18475021275134906,0.16816440248573786,0.2013319104004642,0.8,mean,qi,0,TRUE,0.20903834328055382
23,0.23180294107293423,0.2144133328418854,0.24934762217518877,0.8,mean,qi,0,TRUE,0.21028003911487758
24,0.8544787383138812,0.8394413982795541,0.8693514269328909,0.8,mean,qi,0,TRUE,0.8617485209833831
25,0.7130440713782664,0.6921260015004389,0.7336236416873928,0.8,mean,qi,0,TRUE,0.7353128374088556
26,0.8631069236219617,0.8461656363775797,0.8796735632585644,0.8,mean,qi,0,TRUE,0.8797287903726101
27,0.13282452966525607,0.11891770122448267,0.14674121877754687,0.8,mean,qi,0,TRUE,0.13914891425520182
28,0.2580627307720648,0.24069641164191982,0.2759618088696412,0.8,mean,qi,0,TRUE,0.24762827600352466
29,0.5928876607271835,0.569871443572276,0.6154844897309497,0.8,mean,qi,0,TRUE,0.6136933022644371
30,0.2744918821484077,0.25663940322878837,0.2921418154944264,0.8,mean,qi,0,TRUE,0.28472095960751176
31,0.12058768628532968,0.1065706020578261,0.13507406385430384,0.8,mean,qi,0,TRUE,0.13273487170226872
32,0.8414637974511188,0.8238419064350376,0.8584171023695506,0.8,mean,qi,0,TRUE,0.8247264183592051
33,0.37684216034683193,0.35694684101443436,0.397185063227969,0.8,mean,qi,0,TRUE,0.3810899849049747
