p,.lower,.upper,.width,.point,.interval,rhat,divs
0.07177504329773088,0.055880284635180244,0.08947952984323537,0.95,mean,qi,TRUE,FALSE
0.07300538221381941,0.05714963244025506,0.0913470815453459,0.95,mean,qi,TRUE,FALSE
0.07430535201238192,0.0587454521171218,0.0923979745196788,0.95,mean,qi,TRUE,FALSE
0.07553188597779105,0.05901808671201002,0.09429224693093448,0.95,mean,qi,TRUE,FALSE
0.07652729141583017,0.06001604326239378,0.09499934326290477,0.95,mean,qi,TRUE,FALSE
0.11507076648343738,0.09264314193703367,0.13851721690148172,0.95,mean,qi,TRUE,FALSE
0.1160193822649422,0.09339517850566602,0.13997337192396392,0.95,mean,qi,TRUE,FALSE
0.11745973853634237,0.09497871664002222,0.14113379292165434,0.95,mean,qi,TRUE,FALSE
0.11845356548811627,0.09545885130288621,0.14267662739892603,0.95,mean,qi,TRUE,FALSE
0.11971684257959424,0.09685851152285481,0.14385326980590518,0.95,mean,qi,TRUE,FALSE
0.18389160592499446,0.1609290565169766,0.20818328752864718,0.95,mean,qi,TRUE,FALSE
0.1851207968875172,0.16120206960329614,0.20910476438071035,0.95,mean,qi,TRUE,FALSE
0.18609434496040658,0.1626980194026165,0.2108427326723591,0.95,mean,qi,TRUE,FALSE
0.18744330552142385,0.1632817394372631,0.2123079587494879,0.95,mean,qi,TRUE,FALSE
0.18861735447482783,0.16533195751016128,0.21297663205579498,0.95,mean,qi,TRUE,FALSE
0.06969022159536906,0.054181323421400515,0.08752511329661487,0.95,mean,qi,TRUE,FALSE
0.07079127522552259,0.055019061151230564,0.08857994384335206,0.95,mean,qi,TRUE,FALSE
0.07185659439425586,0.05582334542216305,0.08955995224758431,0.95,mean,qi,TRUE,FALSE
0.07317019068734892,0.056871193203090906,0.09159840693037194,0.95,mean,qi,TRUE,FALSE
0.0745369637202691,0.058071354876708246,0.09288679594389349,0.95,mean,qi,TRUE,FALSE
0.11221205001182459,0.0893403840060204,0.13572756455735685,0.95,mean,qi,TRUE,FALSE
0.11346482981490226,0.09075672417355042,0.13704218836846588,0.95,mean,qi,TRUE,FALSE
0.11448705523774161,0.09139708232557521,0.13833387122215085,0.95,mean,qi,TRUE,FALSE
0.1157329057117151,0.09252147144116626,0.13983361172894934,0.95,mean,qi,TRUE,FALSE
0.1168096820348451,0.09346582772828087,0.1409458207099383,0.95,mean,qi,TRUE,FALSE
0.18296757782178277,0.15935030329503766,0.20771330078877767,0.95,mean,qi,TRUE,FALSE
0.18450952166096019,0.1604461954344127,0.20919945379474517,0.95,mean,qi,TRUE,FALSE
0.18530446293872815,0.16147256050835046,0.20998077966301892,0.95,mean,qi,TRUE,FALSE
0.18652816981678755,0.1621406650270969,0.21132917792228068,0.95,mean,qi,TRUE,FALSE
0.18776154911802687,0.1627190525337571,0.2136656095101735,0.95,mean,qi,TRUE,FALSE
0.06731660379234525,0.05226407455082212,0.08452713193361644,0.95,mean,qi,TRUE,FALSE
0.06861706322109574,0.05319136558471026,0.08593586575038552,0.95,mean,qi,TRUE,FALSE
0.06951502642834317,0.054420219435843784,0.08722399383454128,0.95,mean,qi,TRUE,FALSE
0.07078973830050836,0.05522147949255741,0.08869296035320075,0.95,mean,qi,TRUE,FALSE
0.07186427055851005,0.05591595481266104,0.0896581099783361,0.95,mean,qi,TRUE,FALSE
0.10943503120606726,0.08658367397919525,0.13376592311990598,0.95,mean,qi,TRUE,FALSE
0.11023803272340171,0.08775092845580541,0.13403409134277663,0.95,mean,qi,TRUE,FALSE
0.11131395699055906,0.08825909782635961,0.13563373503639198,0.95,mean,qi,TRUE,FALSE
0.112631079817573,0.08888214817140969,0.13825852923533835,0.95,mean,qi,TRUE,FALSE
0.11405921365612502,0.0908238045242238,0.13875795585846767,0.95,mean,qi,TRUE,FALSE
0.18235622195752244,0.1586761313187403,0.2072475484873443,0.95,mean,qi,TRUE,FALSE
0.18324247388733378,0.15934850787657,0.2074638061379779,0.95,mean,qi,TRUE,FALSE
0.1841182431392242,0.16067282092404322,0.20919877053220676,0.95,mean,qi,TRUE,FALSE
0.1856784702252154,0.16123077330990135,0.2103423223588767,0.95,mean,qi,TRUE,FALSE
0.18704028828250105,0.16295018326991528,0.2115329333296285,0.95,mean,qi,TRUE,FALSE
0.06645944994252376,0.05187470384647633,0.08341316461534355,0.95,mean,qi,TRUE,FALSE
0.06728934878710188,0.05282484026621383,0.08308689750594851,0.95,mean,qi,TRUE,FALSE
0.06799180887391072,0.05285463672192311,0.08448243712516691,0.95,mean,qi,TRUE,FALSE
0.06912912485971129,0.054187085094117425,0.0857088620354542,0.95,mean,qi,TRUE,FALSE
0.07003818132228035,0.05459181201973585,0.0872401950228105,0.95,mean,qi,TRUE,FALSE
0.10645843353558211,0.08582777827187905,0.12834215988218728,0.95,mean,qi,TRUE,FALSE
0.10717451135474378,0.08582105528954428,0.12979314235764747,0.95,mean,qi,TRUE,FALSE
0.10828082810785096,0.0872748316125514,0.13043510919727896,0.95,mean,qi,TRUE,FALSE
0.10932463780725106,0.08818125490835199,0.13148600501543312,0.95,mean,qi,TRUE,FALSE
0.11003499952757108,0.08916549763624702,0.13275195949957946,0.95,mean,qi,TRUE,FALSE
0.17108248544838542,0.14928093395482075,0.19400533774497133,0.95,mean,qi,TRUE,FALSE
0.17178420650895473,0.15080114170378667,0.19423751593829028,0.95,mean,qi,TRUE,FALSE
0.17292239542173712,0.15134460656688362,0.19526119276664922,0.95,mean,qi,TRUE,FALSE
0.17371013926376544,0.15195800973634177,0.1956488276402597,0.95,mean,qi,TRUE,FALSE
0.17463262123189432,0.15247980466490685,0.19768275216307482,0.95,mean,qi,TRUE,FALSE
0.06427957337632752,0.05040837043655528,0.07983879116063627,0.95,mean,qi,TRUE,FALSE
0.06533137908155513,0.05116532445668562,0.08190997427076069,0.95,mean,qi,TRUE,FALSE
0.06602855924327154,0.05168181185717071,0.08258136312981582,0.95,mean,qi,TRUE,FALSE
0.06692981592308803,0.05235922715381408,0.08338030422866238,0.95,mean,qi,TRUE,FALSE
0.06794617852275932,0.05278098821170474,0.0845863231533445,0.95,mean,qi,TRUE,FALSE
0.10389259586735548,0.08296736075751687,0.12638389135471995,0.95,mean,qi,TRUE,FALSE
0.10485297326377654,0.08401393330174325,0.12690631654929901,0.95,mean,qi,TRUE,FALSE
0.10562414141620899,0.08426906594166467,0.1286280716691878,0.95,mean,qi,TRUE,FALSE
0.10620617760910961,0.08510693224210555,0.12840266584190094,0.95,mean,qi,TRUE,FALSE
0.1072612264117204,0.08662798983053144,0.1304393171966944,0.95,mean,qi,TRUE,FALSE
0.17018487637199167,0.14850492577079352,0.192116100776384,0.95,mean,qi,TRUE,FALSE
0.17094250468734443,0.14926548658841832,0.19412569726312887,0.95,mean,qi,TRUE,FALSE
0.17173584713046022,0.1498677063230267,0.19559629700973402,0.95,mean,qi,TRUE,FALSE
0.17297128635033746,0.15130916192795438,0.19602451825928488,0.95,mean,qi,TRUE,FALSE
0.17385905053742845,0.15121385399878937,0.19645656545860848,0.95,mean,qi,TRUE,FALSE
0.06228872900810131,0.04832532000115654,0.07802686791509567,0.95,mean,qi,TRUE,FALSE
0.06325543505394568,0.04913423603684629,0.07952967878852732,0.95,mean,qi,TRUE,FALSE
0.06382608243154894,0.049656030063071635,0.08003177395425946,0.95,mean,qi,TRUE,FALSE
0.0648005414608272,0.050450253126251565,0.08069214478103987,0.95,mean,qi,TRUE,FALSE
0.06577510325834363,0.051392296876624055,0.08229685221469973,0.95,mean,qi,TRUE,FALSE
0.10115534539166463,0.08006560147758447,0.12329053722289007,0.95,mean,qi,TRUE,FALSE
0.10174119063891837,0.08109806613681028,0.12385750901281586,0.95,mean,qi,TRUE,FALSE
0.10274010247905117,0.08162370636875356,0.12531069321309554,0.95,mean,qi,TRUE,FALSE
